,method,freq_band,group,rank
0,graph,alpha,control,1
1,graph,alpha,control,2
2,graph,alpha,control,1
3,graph,alpha,control,1
4,graph,alpha,control,1
5,graph,alpha,control,1
6,graph,alpha,control,1
7,graph,alpha,control,1
8,graph,alpha,control,1
9,graph,alpha,control,1
10,graph,alpha,control,1
11,graph,alpha,control,1
12,graph,alpha,control,1
13,graph,alpha,control,1
14,graph,alpha,control,1
15,graph,alpha,control,1
16,graph,alpha,control,1
17,graph,alpha,control,1
18,graph,alpha,control,1
19,graph,alpha,control,1
20,graph,alpha,control,1
21,graph,alpha,control,1
22,graph,alpha,control,1
23,graph,alpha,case,1
24,graph,alpha,case,1
25,graph,alpha,case,1
26,graph,alpha,case,1
27,graph,alpha,case,1
28,graph,alpha,case,1
29,graph,alpha,case,1
30,graph,alpha,case,1
31,graph,alpha,case,2
32,graph,alpha,case,1
33,graph,alpha,case,1
34,graph,alpha,case,1
35,graph,alpha,case,1
36,graph,alpha,case,1
37,graph,alpha,case,1
38,graph,alpha,case,1
39,graph,alpha,case,1
40,graph,alpha,case,3
41,graph,gamma,control,1
42,graph,gamma,control,1
43,graph,gamma,control,1
44,graph,gamma,control,1
45,graph,gamma,control,1
46,graph,gamma,control,1
47,graph,gamma,control,1
48,graph,gamma,control,1
49,graph,gamma,control,1
50,graph,gamma,control,1
51,graph,gamma,control,1
52,graph,gamma,control,1
53,graph,gamma,control,1
54,graph,gamma,control,1
55,graph,gamma,control,1
56,graph,gamma,control,1
57,graph,gamma,control,1
58,graph,gamma,control,1
59,graph,gamma,control,1
60,graph,gamma,control,1
61,graph,gamma,control,1
62,graph,gamma,control,1
63,graph,gamma,control,1
64,graph,gamma,case,1
65,graph,gamma,case,1
66,graph,gamma,case,1
67,graph,gamma,case,1
68,graph,gamma,case,1
69,graph,gamma,case,1
70,graph,gamma,case,1
71,graph,gamma,case,1
72,graph,gamma,case,1
73,graph,gamma,case,1
74,graph,gamma,case,1
75,graph,gamma,case,1
76,graph,gamma,case,1
77,graph,gamma,case,1
78,graph,gamma,case,1
79,graph,gamma,case,1
80,graph,gamma,case,1
81,graph,gamma,case,1
82,pli,alpha,control,39
83,pli,alpha,control,3
84,pli,alpha,control,19
85,pli,alpha,control,1
86,pli,alpha,control,22
87,pli,alpha,control,2
88,pli,alpha,control,12
89,pli,alpha,control,6
90,pli,alpha,control,1
91,pli,alpha,control,1
92,pli,alpha,control,15
93,pli,alpha,control,33
94,pli,alpha,control,39
95,pli,alpha,control,23
96,pli,alpha,control,8
97,pli,alpha,control,1
98,pli,alpha,control,33
99,pli,alpha,control,26
100,pli,alpha,control,9
101,pli,alpha,control,3
102,pli,alpha,control,32
103,pli,alpha,control,10
104,pli,alpha,control,33
105,pli,alpha,case,1
106,pli,alpha,case,2
107,pli,alpha,case,3
108,pli,alpha,case,31
109,pli,alpha,case,1
110,pli,alpha,case,16
111,pli,alpha,case,36
112,pli,alpha,case,17
113,pli,alpha,case,3
114,pli,alpha,case,30
115,pli,alpha,case,13
116,pli,alpha,case,2
117,pli,alpha,case,25
118,pli,alpha,case,34
119,pli,alpha,case,1
120,pli,alpha,case,1
121,pli,alpha,case,5
122,pli,alpha,case,1
123,pli,gamma,control,9
124,pli,gamma,control,5
125,pli,gamma,control,19
126,pli,gamma,control,1
127,pli,gamma,control,1
128,pli,gamma,control,31
129,pli,gamma,control,32
130,pli,gamma,control,33
131,pli,gamma,control,24
132,pli,gamma,control,39
133,pli,gamma,control,3
134,pli,gamma,control,36
135,pli,gamma,control,11
136,pli,gamma,control,16
137,pli,gamma,control,17
138,pli,gamma,control,10
139,pli,gamma,control,17
140,pli,gamma,control,7
141,pli,gamma,control,32
142,pli,gamma,control,1
143,pli,gamma,control,3
144,pli,gamma,control,17
145,pli,gamma,control,25
146,pli,gamma,case,1
147,pli,gamma,case,1
148,pli,gamma,case,21
149,pli,gamma,case,4
150,pli,gamma,case,4
151,pli,gamma,case,4
152,pli,gamma,case,30
153,pli,gamma,case,26
154,pli,gamma,case,36
155,pli,gamma,case,19
156,pli,gamma,case,22
157,pli,gamma,case,41
158,pli,gamma,case,5
159,pli,gamma,case,35
160,pli,gamma,case,21
161,pli,gamma,case,1
162,pli,gamma,case,14
163,pli,gamma,case,3
